top - 17:59:55 up 5 days,  7:05,  1 user,  load average: 3.55, 3.92, 4.01
Tasks: 474 total,   2 running, 472 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.4 us, 13.6 sy,  0.0 ni, 58.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15900.2 total,    284.0 free,  10360.2 used,   5255.9 buff/cache
MiB Swap:   2048.0 total,    777.9 free,   1270.1 used.   3786.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   8383 nishant+  20   0  493816  25436  15712 S   0.0   0.2   0:04.85 xdg-des+
   9662 nishant+  20   0  387968   8504   7056 S   0.0   0.1   0:01.69 gvfsd-n+
   9702 nishant+  20   0  315116   7768   6752 S   0.0   0.0   0:05.38 gvfsd-d+
   9816 nishant+  20   0  330372  10000   7336 S   0.0   0.1   0:01.61 gvfsd-r+
   9837 nishant+  20   0  162304   6436   5720 S   0.0   0.0   0:00.28 gvfsd-m+
   9840 nishant+  20   0  427196  29108  19452 S   0.0   0.2   0:05.60 update-+
  17023 nishant+  20   0   33.2g 570476 307900 S   0.0   3.5  90:07.91 chrome
  17029 nishant+  20   0    8228    576    512 S   0.0   0.0   0:00.00 cat
  17030 nishant+  20   0    8228    584    516 S   0.0   0.0   0:00.00 cat
  17032 nishant+  20   0   32.0g   2976   2748 S   0.0   0.0   0:00.02 chrome_+
  17034 nishant+  20   0   32.0g   2708   2452 S   0.0   0.0   0:00.00 chrome_+
  17040 nishant+  20   0   32.3g  59768  48548 S   0.0   0.4   0:00.01 chrome
  17041 nishant+  20   0   32.3g  59404  48248 S   0.0   0.4   0:00.02 chrome
  17042 nishant+  20   0   32.0g   4932   4540 S   0.0   0.0   0:00.00 nacl_he+
  17045 nishant+  20   0   32.3g  15884   4596 S   0.0   0.1   0:02.21 chrome
  17069 nishant+  20   0   32.4g 156780  95212 S   0.0   1.0  53:51.78 chrome
  17078 nishant+  20   0   32.3g  54832  39384 S   0.0   0.3   0:18.06 chrome
  17104 nishant+  20   0 1129.9g 160244  98580 S   0.0   1.0  21:39.28 chrome
  17240 nishant+  20   0 1129.9g 125408  91452 S   0.0   0.8   0:15.30 chrome
